"Have you ever experienced a terrible occurrence that has impacted you significantly? Examples may include being the victim of armed assault, witnessing a tragedy happen to someone else, surviving a sexual assault, or living through a natural disaster","Do you ever feel that you’ve been affected by feelings of edginess, anxiety, or nerves?","Have you ever experienced an ‘attack’ of fear, anxiety, or panic?",Do feelings of anxiety or discomfort around others bother you?,"Have you experienced a week or longer of lower-than-usual interest in activities that you usually enjoy? Examples might include work, exercise, or hobbies.",Answers
No,No,No,No,No,You Don’t have any problem.
No,No,No,No,Yes,Listen to some Relaxing Music
No,No,No,Yes,No,Listen to some Relaxing Music
No,No,No,Yes,Yes,Listen to some Relaxing Music
No,No,Yes,No,No,Listen to some Relaxing Music
No,No,Yes,No,Yes,Listen to some Relaxing Music
No,No,Yes,Yes,No,Go For a Walk
No,No,Yes,Yes,Yes,Go For a Walk
No,Yes,No,No,No,Go For a Walk
No,Yes,No,No,Yes,Go For a Walk
No,Yes,No,Yes,No,Go For a Walk
No,Yes,No,Yes,Yes,Do some Excersise
No,Yes,Yes,No,No,Do some Excersise
No,Yes,Yes,No,Yes,Do some Excersise
No,Yes,Yes,Yes,No,Do some Excersise
No,Yes,Yes,Yes,Yes,Do some Excersise
Yes,No,No,No,No,Do some Excersise
Yes,No,No,No,Yes,Do some Excersise
Yes,No,No,Yes,No,Do some Excersise
Yes,No,No,Yes,Yes,Do some Excersise
Yes,No,Yes,No,No,Do some Excersise
Yes,No,Yes,No,Yes,Do some Excersise
Yes,No,Yes,Yes,No,Do some Excersise
Yes,No,Yes,Yes,Yes,Do some Excersise
Yes,Yes,No,No,No,Do some Excersise
Yes,Yes,No,No,Yes,Do some Excersise
Yes,Yes,No,Yes,No,Do some Excersise
Yes,Yes,No,Yes,Yes,Do some Excersise
Yes,Yes,Yes,No,No,Do some Excersise
Yes,Yes,Yes,No,Yes,Do some Excersise
Yes,Yes,Yes,Yes,No,Do some Excersise
Yes,Yes,Yes,Yes,Yes,Do some Excersise
